DATE,Open,High,Low,Close,Volume
06/23/2023,29896.38,31389.54,29845.21,30695.47,24115570084.62
06/24/2023,30708.74,30804.15,30290.15,30548.69,12147822496.00
06/25/2023,30545.15,31041.27,30327.94,30480.26,12703464114.00
06/26/2023,30480.52,30636.03,29955.74,30271.13,16493186997.00
06/27/2023,30274.32,31006.79,30236.65,30688.16,16428827944.00
06/28/2023,30696.56,30703.28,29921.82,30086.25,14571500779.44
06/29/2023,30086.19,30796.25,30057.2,30445.35,13180860821.04
06/30/2023,30441.35,31256.86,29600.28,30477.25,26387306196.78
07/01/2023,30471.85,30641.29,30328.86,30590.08,9086606733.00
07/02/2023,30587.27,30766.14,30264.02,30620.77,10533418042.02
07/03/2023,30624.52,31375.61,30586.51,31156.44,15271884873.11
07/04/2023,31156.86,31325.2,30659.36,30777.58,12810828427.35
07/05/2023,30778.73,30877.33,30225.61,30514.17,12481622279.55
07/06/2023,30507.15,31460.05,29892.23,29909.34,21129219508.80
07/07/2023,29908.,30434.64,29777.28,30342.26,13384770154.90
07/08/2023,30346.92,30374.44,30080.16,30292.54,7509378699.36
07/09/2023,30291.61,30427.59,30085.59,30171.23,7903327692.27
07/10/2023,30172.42,31026.08,29985.39,30414.47,14828209155.42
07/11/2023,30417.63,30788.31,30358.1,30620.95,12151839151.90
07/12/2023,30622.25,30959.97,30228.84,30391.65,14805659716.84
07/13/2023,30387.49,31814.51,30268.35,31476.05,23686079547.52
07/14/2023,31474.72,31582.25,29966.39,30334.07,20917902659.76
07/15/2023,30331.78,30407.78,30263.46,30295.81,8011667755.87
07/16/2023,30297.47,30437.56,30089.67,30249.13,8516564469.72
07/17/2023,30249.63,30336.4,29685.78,30145.89,13240156074.07
07/18/2023,30147.07,30233.66,29556.43,29856.56,13138897269.16
07/19/2023,29862.05,30184.18,29794.27,29913.92,12128602811.70
07/20/2023,29915.25,30195.53,29638.1,29792.02,14655207120.53
07/21/2023,29805.11,30046.,29733.85,29908.74,10972789817.70
07/22/2023,29908.7,29991.62,29664.12,29771.8,7873300597.52
07/23/2023,29790.11,30330.64,29741.53,30084.54,9220145049.89
07/24/2023,30081.66,30093.39,28934.29,29176.92,15395817395.41
07/25/2023,29178.97,29353.16,29062.43,29227.39,10266772792.70
07/26/2023,29225.76,29675.55,29113.91,29354.97,13497554655.35
07/27/2023,29353.8,29560.97,29099.35,29210.69,10770779216.98
07/28/2023,29212.16,29521.51,29125.85,29319.25,11218474951.63
07/29/2023,29319.45,29396.84,29264.17,29356.92,6481775958.74
07/30/2023,29357.09,29443.17,29059.5,29275.31,8678454526.64
07/31/2023,29278.31,29489.87,29131.58,29230.11,11656781981.62
08/01/2023,29230.87,29675.73,28657.02,29675.73,18272392391.28
08/02/2023,29704.15,29988.,28946.51,29151.96,19212655598.47
08/03/2023,29161.81,29375.71,28959.49,29178.68,12780357745.55
08/04/2023,29174.38,29302.08,28885.34,29074.09,12036639987.62
08/05/2023,29075.39,29102.47,28957.8,29042.13,6598366352.73
08/06/2023,29043.7,29160.82,28963.83,29041.86,7269806993.78
08/07/2023,29038.51,29244.28,28724.14,29180.58,13618163710.33
08/08/2023,29180.02,30176.8,29113.81,29765.49,17570561357.26
08/09/2023,29766.7,30093.44,29376.8,29561.49,18379521212.63
08/10/2023,29563.97,29688.56,29354.45,29429.59,11865344788.64
08/11/2023,29424.9,29517.77,29253.52,29397.72,10195168196.66
08/12/2023,29399.79,29465.11,29357.59,29415.96,6194358007.75
08/13/2023,29416.59,29441.43,29265.81,29282.91,7329897179.69
08/14/2023,29283.26,29660.25,29124.11,29408.44,14013695304.04
08/15/2023,29408.05,29439.12,29088.85,29170.35,12640195779.03
08/16/2023,29169.07,29221.98,28701.78,28701.78,14949271904.13
08/17/2023,28699.8,28745.95,25409.11,26664.55,31120851211.44
08/18/2023,26636.08,26808.2,25668.92,26049.56,24026236529.35
08/19/2023,26047.83,26249.45,25802.41,26096.2,10631443812.07
08/20/2023,26096.86,26260.68,26004.32,26189.58,9036580419.74
08/21/2023,26188.69,26220.2,25846.09,26124.14,13371557892.60
08/22/2023,26130.75,26135.51,25520.73,26031.66,14503820706.42
08/23/2023,26040.47,26786.9,25805.,26431.64,16985265785.29
08/24/2023,26431.52,26554.91,25914.93,26162.37,12871532023.01
08/25/2023,26163.68,26248.1,25786.81,26047.67,12406045117.51
08/26/2023,26047.24,26107.38,25983.88,26008.46,6034817316.31
08/27/2023,26008.24,26165.37,25965.1,26089.69,6913768611.22
08/28/2023,26089.61,26198.58,25880.6,26106.15,11002805166.45
08/29/2023,26102.49,28089.34,25912.63,27727.39,29368391711.99
08/30/2023,27726.08,27760.16,27069.21,27297.27,16343655235.34
08/31/2023,27301.93,27456.08,25752.93,25931.47,20181001451.19
09/01/2023,25934.02,26125.87,25362.61,25800.72,17202862221.48
09/02/2023,25800.91,25970.28,25753.09,25868.8,10100387473.24
09/03/2023,25869.47,26087.15,25817.03,25969.57,8962524522.99
09/04/2023,25968.17,26081.52,25657.03,25812.42,10680635105.81
09/05/2023,25814.96,25858.37,25589.99,25779.98,11094740039.80
09/06/2023,25783.93,25953.02,25404.36,25753.24,12752705326.81
09/07/2023,25748.31,26409.3,25608.2,26240.19,11088307100.27
09/08/2023,26245.21,26414.01,25677.48,25905.65,10817356399.67
09/09/2023,25905.42,25921.98,25810.5,25895.68,5481314132.31
09/10/2023,25895.21,25978.13,25640.26,25832.23,7899553047.41
09/11/2023,25831.72,25883.95,24930.3,25162.66,14600006466.65
09/12/2023,25160.66,26451.94,25133.08,25833.34,18657279324.05
09/13/2023,25837.55,26376.11,25781.12,26228.32,13072077070.22
09/14/2023,26228.28,26774.62,26171.45,26539.67,13811359124.32
09/15/2023,26533.82,26840.5,26240.7,26608.69,11479735788.30
09/16/2023,26606.2,26754.77,26473.89,26568.28,7402031416.60
09/17/2023,26567.93,26618.,26445.08,26534.19,6774210669.73
09/18/2023,26532.99,27414.73,26415.52,26754.28,15615339654.79
09/19/2023,26760.85,27488.76,26681.61,27211.12,13807690550.44
09/20/2023,27210.23,27379.51,26864.08,27132.01,13281116603.72
09/21/2023,27129.84,27152.94,26389.3,26567.63,13371443707.65
09/22/2023,26564.06,26726.08,26495.53,26579.57,10578746708.52
09/23/2023,26578.56,26634.19,26520.52,26579.39,7404700300.94
09/24/2023,26579.37,26716.06,26221.05,26256.83,8192867685.97
09/25/2023,26253.78,26421.51,26011.47,26298.48,11997833256.53
09/26/2023,26294.76,26389.88,26090.71,26217.25,9985498161.06
09/27/2023,26209.5,26817.84,26111.46,26352.72,11718380997.24
09/28/2023,26355.81,27259.5,26327.32,27021.55,14079002707.33
09/29/2023,27024.84,27225.94,26721.76,26911.72,10396435377.43
09/30/2023,26911.69,27091.8,26888.97,26967.92,5331172801.03
10/01/2023,26967.4,28047.24,26965.09,27983.75,9503917434.43
10/02/2023,27976.8,28494.46,27347.79,27530.78,19793041321.84
10/03/2023,27508.25,27667.19,27216.,27429.98,11407814186.59
10/04/2023,27429.07,27826.66,27248.11,27799.39,11143355313.54
10/05/2023,27798.65,28091.86,27375.6,27415.91,11877253669.95
10/06/2023,27412.12,28252.54,27215.55,27946.6,13492391598.97
10/07/2023,27946.78,28028.09,27870.42,27968.84,6553044316.48
10/08/2023,27971.68,28102.17,27740.66,27935.09,7916875289.67
10/09/2023,27934.47,27989.47,27302.56,27583.68,12007668568.18
10/10/2023,27589.2,27715.85,27301.66,27391.02,9973350678.17
10/11/2023,27392.08,27474.12,26561.1,26873.32,13648094333.06
10/12/2023,26873.29,26921.44,26558.32,26756.8,9392909295.17
10/13/2023,26752.88,27092.7,26686.32,26862.38,15165312851.42
10/14/2023,26866.2,26969.,26814.59,26861.71,5388116781.76
10/15/2023,26858.01,27289.17,26817.89,27159.65,7098201979.78
10/16/2023,27162.63,29448.14,27130.47,28519.47,27833876539.05
10/17/2023,28522.1,28618.75,28110.19,28415.75,14872527507.52
10/18/2023,28413.53,28889.01,28174.25,28328.34,12724128585.67
10/19/2023,28332.42,28892.47,28177.99,28719.81,14448058194.96
10/20/2023,28732.81,30104.09,28601.67,29682.95,21536125230.44
10/21/2023,29683.38,30287.48,29481.75,29918.41,11541146995.56
10/22/2023,29918.66,30199.43,29720.31,29993.9,10446520039.78
10/23/2023,30140.68,34370.44,30097.83,33086.23,38363572311.35
10/24/2023,33077.3,35150.43,32880.76,33901.53,44934999644.84
10/25/2023,33916.04,35133.76,33709.11,34502.82,25254318008.32
10/26/2023,34504.29,34832.91,33762.32,34156.65,19427195375.76
10/27/2023,34156.5,34238.21,33416.89,33909.8,16418032871.14
10/28/2023,33907.72,34399.39,33874.8,34089.58,10160330824.97
10/29/2023,34089.37,34743.26,33947.57,34538.48,11160323986.40
10/30/2023,34531.74,34843.94,34110.97,34502.36,17184860315.15
10/31/2023,34500.08,34719.25,34083.31,34667.78,15758270810.39
11/01/2023,34657.28,35527.93,34170.69,35437.25,22446272004.73
11/02/2023,35441.58,35919.84,34401.57,34938.24,20998158544.23
11/03/2023,34942.47,34942.47,34133.44,34732.33,17158456701.46
11/04/2023,34736.32,35256.03,34616.69,35082.2,9561294263.72
11/05/2023,35090.01,35340.34,34594.24,35049.36,12412743995.66
11/06/2023,35044.79,35286.03,34765.36,35037.37,12693436419.50
11/07/2023,35047.79,35892.42,34545.82,35443.56,18834737788.75
11/08/2023,35419.48,35994.42,35147.8,35655.28,17295394917.86
